date,temperature_2m
2026-07-28 00:00:00+07:00,27.0
2026-07-28 01:00:00+07:00,27.05
2026-07-28 02:00:00+07:00,26.55
2026-07-28 03:00:00+07:00,26.3
2026-07-28 04:00:00+07:00,26.25
2026-07-28 05:00:00+07:00,26.1
2026-07-28 06:00:00+07:00,25.8
2026-07-28 07:00:00+07:00,25.4
2026-07-28 08:00:00+07:00,25.1
2026-07-28 09:00:00+07:00,26.0
2026-07-28 10:00:00+07:00,26.85
2026-07-28 11:00:00+07:00,27.15
2026-07-28 12:00:00+07:00,27.45
2026-07-28 13:00:00+07:00,27.6
2026-07-28 14:00:00+07:00,28.65
2026-07-28 15:00:00+07:00,29.7
2026-07-28 16:00:00+07:00,29.85
2026-07-28 17:00:00+07:00,28.05
2026-07-28 18:00:00+07:00,27.7
2026-07-28 19:00:00+07:00,27.15
2026-07-28 20:00:00+07:00,27.35
2026-07-28 21:00:00+07:00,27.55
2026-07-28 22:00:00+07:00,27.2
2026-07-28 23:00:00+07:00,26.6
2026-07-29 00:00:00+07:00,26.25
2026-07-29 01:00:00+07:00,26.15
2026-07-29 02:00:00+07:00,26.15
2026-07-29 03:00:00+07:00,26.15
2026-07-29 04:00:00+07:00,25.95
2026-07-29 05:00:00+07:00,25.75
2026-07-29 06:00:00+07:00,25.75
2026-07-29 07:00:00+07:00,26.0
2026-07-29 08:00:00+07:00,26.65
2026-07-29 09:00:00+07:00,27.5
2026-07-29 10:00:00+07:00,28.55
2026-07-29 11:00:00+07:00,29.95
2026-07-29 12:00:00+07:00,31.2
2026-07-29 13:00:00+07:00,31.8
2026-07-29 14:00:00+07:00,32.15
2026-07-29 15:00:00+07:00,31.85
2026-07-29 16:00:00+07:00,29.65
2026-07-29 17:00:00+07:00,27.15
2026-07-29 18:00:00+07:00,26.25
2026-07-29 19:00:00+07:00,26.45
2026-07-29 20:00:00+07:00,26.5
2026-07-29 21:00:00+07:00,26.7
2026-07-29 22:00:00+07:00,26.7
2026-07-29 23:00:00+07:00,26.6
2026-07-30 00:00:00+07:00,26.7
2026-07-30 01:00:00+07:00,26.8
2026-07-30 02:00:00+07:00,26.45
2026-07-30 03:00:00+07:00,26.25
2026-07-30 04:00:00+07:00,25.8
2026-07-30 05:00:00+07:00,25.6
2026-07-30 06:00:00+07:00,25.45
2026-07-30 07:00:00+07:00,25.75
2026-07-30 08:00:00+07:00,27.15
2026-07-30 09:00:00+07:00,28.65
2026-07-30 10:00:00+07:00,29.95
2026-07-30 11:00:00+07:00,30.95
2026-07-30 12:00:00+07:00,31.7
2026-07-30 13:00:00+07:00,31.45
2026-07-30 14:00:00+07:00,26.5
2026-07-30 15:00:00+07:00,27.25
2026-07-30 16:00:00+07:00,28.0
2026-07-30 17:00:00+07:00,28.0
2026-07-30 18:00:00+07:00,27.15
2026-07-30 19:00:00+07:00,26.95
2026-07-30 20:00:00+07:00,26.85
2026-07-30 21:00:00+07:00,26.75
2026-07-30 22:00:00+07:00,26.8
2026-07-30 23:00:00+07:00,26.75
2026-07-31 00:00:00+07:00,26.4
2026-07-31 01:00:00+07:00,25.6
2026-07-31 02:00:00+07:00,25.7
2026-07-31 03:00:00+07:00,25.85
2026-07-31 04:00:00+07:00,25.7
2026-07-31 05:00:00+07:00,25.45
2026-07-31 06:00:00+07:00,25.3
2026-07-31 07:00:00+07:00,25.7
2026-07-31 08:00:00+07:00,27.15
2026-07-31 09:00:00+07:00,27.95
2026-07-31 10:00:00+07:00,28.65
2026-07-31 11:00:00+07:00,28.2
2026-07-31 12:00:00+07:00,29.0
2026-07-31 13:00:00+07:00,30.15
2026-07-31 14:00:00+07:00,28.8
2026-07-31 15:00:00+07:00,28.0
2026-07-31 16:00:00+07:00,27.95
2026-07-31 17:00:00+07:00,27.45
2026-07-31 18:00:00+07:00,27.25
2026-07-31 19:00:00+07:00,26.85
2026-07-31 20:00:00+07:00,26.7
2026-07-31 21:00:00+07:00,26.7
2026-07-31 22:00:00+07:00,26.7
